item_id,item_type,title,category,color,brand,location,event_date,description,status,semantic_text
L001,LOST,Green Levi's Wallet,Wallet,green,Levi's,Computer Lab,3/4/2026,"Green Levi's wallet has EcoCash card, contains small cash notes.",OPEN,"Wallet green Levi's Computer Lab Green Levi's wallet has EcoCash card, contains small cash notes."
L002,LOST,White Nike Jacket,Jacket,white,Nike,Main Library,3/7/2026,"White Nike jacket hood attached, lightweight material.",OPEN,"Jacket white Nike Main Library White Nike jacket hood attached, lightweight material."
L003,LOST,Black Asus Laptop,Laptop,black,Asus,Hostel Block B,3/8/2026,"Black Asus laptop small sticker on lid, slightly worn keyboard.",OPEN,"Laptop black Asus Hostel Block B Black Asus laptop small sticker on lid, slightly worn keyboard."
L004,LOST,Black Xiaomi Power Bank,Power Bank,black,Xiaomi,Lecture Room A1,3/9/2026,"Black Xiaomi power bank slim rectangular body, LED indicator working.",OPEN,"Power Bank black Xiaomi Lecture Room A1 Black Xiaomi power bank slim rectangular body, LED indicator working."
L005,LOST,Silver Nike Backpack,Backpack,silver,Nike,Student Center,3/4/2026,"Silver Nike backpack front zip pocket, side bottle holder.",OPEN,"Backpack silver Nike Student Center Silver Nike backpack front zip pocket, side bottle holder."
L006,LOST,Green Samsung Earbuds,Earbuds,green,Samsung,Main Library,3/13/2026,"Green Samsung earbuds case has scratch marks, inside charging case.",OPEN,"Earbuds green Samsung Main Library Green Samsung earbuds case has scratch marks, inside charging case."
L007,LOST,Silver Generic Wallet,Wallet,silver,Generic,Parking Lot,3/2/2026,"Silver Generic wallet has EcoCash card, contains student ID.",OPEN,"Wallet silver Generic Parking Lot Silver Generic wallet has EcoCash card, contains student ID."
L008,LOST,Blue Lenovo Laptop,Laptop,blue,Lenovo,Computer Lab,3/9/2026,"Blue Lenovo laptop charger included, slightly worn keyboard.",OPEN,"Laptop blue Lenovo Computer Lab Blue Lenovo laptop charger included, slightly worn keyboard."
L009,LOST,Brown Xiaomi Power Bank,Power Bank,brown,Xiaomi,Cafeteria,3/9/2026,"Brown Xiaomi power bank LED indicator working, 10,000mAh.",OPEN,"Power Bank brown Xiaomi Cafeteria Brown Xiaomi power bank LED indicator working, 10,000mAh."
L010,LOST,Red Nike Wallet,Wallet,red,Nike,Lecture Room A1,3/9/2026,"Red Nike wallet zip compartment inside, contains small cash notes.",OPEN,"Wallet red Nike Lecture Room A1 Red Nike wallet zip compartment inside, contains small cash notes."
L011,LOST,Silver Adidas Jacket,Jacket,silver,Adidas,Main Library,3/11/2026,"Silver Adidas jacket zipper working, hood attached.",OPEN,"Jacket silver Adidas Main Library Silver Adidas jacket zipper working, hood attached."
L012,LOST,Blue MSU ID Card,ID Card,blue,MSU,Computer Lab,3/7/2026,"Blue MSU id card slightly bent corner, inside transparent holder.",OPEN,"ID Card blue MSU Computer Lab Blue MSU id card slightly bent corner, inside transparent holder."
L013,LOST,Gray Itel Power Bank,Power Bank,gray,Itel,Lecture Room A1,3/8/2026,"Gray Itel power bank LED indicator working, 10,000mAh.",OPEN,"Power Bank gray Itel Lecture Room A1 Gray Itel power bank LED indicator working, 10,000mAh."
L014,LOST,White Puma Jacket,Jacket,white,Puma,Parking Lot,3/8/2026,"White Puma jacket medium size, left pocket slightly torn.",OPEN,"Jacket white Puma Parking Lot White Puma jacket medium size, left pocket slightly torn."
L015,LOST,Gray Samsonite Backpack,Backpack,gray,Samsonite,Student Center,3/5/2026,"Gray Samsonite backpack front zip pocket, slightly torn handle.",OPEN,"Backpack gray Samsonite Student Center Gray Samsonite backpack front zip pocket, slightly torn handle."
L016,LOST,Blue Dell Backpack,Backpack,blue,Dell,Sports Ground,3/17/2026,"Blue Dell backpack side bottle holder, slightly torn handle.",OPEN,"Backpack blue Dell Sports Ground Blue Dell backpack side bottle holder, slightly torn handle."
L017,LOST,Blue Toyota Keys,Keys,blue,Toyota,Hostel Block B,3/4/2026,"Blue Toyota keys small metal tag, has red ribbon attached.",OPEN,"Keys blue Toyota Hostel Block B Blue Toyota keys small metal tag, has red ribbon attached."
L018,LOST,Brown Office Keys,Keys,brown,Office,Admin Block,3/17/2026,"Brown Office keys attached to blue keyholder, small metal tag.",OPEN,"Keys brown Office Admin Block Brown Office keys attached to blue keyholder, small metal tag."
L019,LOST,Blue Samsonite Backpack,Backpack,blue,Samsonite,Bus Stop,3/5/2026,"Blue Samsonite backpack slightly torn handle, contains notebook and charger.",OPEN,"Backpack blue Samsonite Bus Stop Blue Samsonite backpack slightly torn handle, contains notebook and charger."
L020,LOST,Black JBL Earbuds,Earbuds,black,JBL,Parking Lot,3/1/2026,"Black JBL earbuds white charging cable included, case has scratch marks.",OPEN,"Earbuds black JBL Parking Lot Black JBL earbuds white charging cable included, case has scratch marks."
L021,LOST,Green Generic Wallet,Wallet,green,Generic,Computer Lab,3/19/2026,"Green Generic wallet contains student ID, has EcoCash card.",OPEN,"Wallet green Generic Computer Lab Green Generic wallet contains student ID, has EcoCash card."
L022,LOST,Gray Levi's Wallet,Wallet,gray,Levi's,Student Center,3/5/2026,"Gray Levi's wallet contains small cash notes, has EcoCash card.",OPEN,"Wallet gray Levi's Student Center Gray Levi's wallet contains small cash notes, has EcoCash card."
L023,LOST,Green Anker Power Bank,Power Bank,green,Anker,Hostel Block B,3/7/2026,"Green Anker power bank minor scratches on side, slim rectangular body.",OPEN,"Power Bank green Anker Hostel Block B Green Anker power bank minor scratches on side, slim rectangular body."
L024,LOST,Green Adidas Jacket,Jacket,green,Adidas,Sports Ground,3/17/2026,"Green Adidas jacket left pocket slightly torn, medium size.",OPEN,"Jacket green Adidas Sports Ground Green Adidas jacket left pocket slightly torn, medium size."
L025,LOST,Red Oraimo Power Bank,Power Bank,red,Oraimo,Computer Lab,3/1/2026,"Red Oraimo power bank USB cable included, LED indicator working.",OPEN,"Power Bank red Oraimo Computer Lab Red Oraimo power bank USB cable included, LED indicator working."
L026,LOST,Red Notebook Book,Book,red,Notebook,Main Library,3/8/2026,"Red Notebook book handwritten notes inside, slightly folded corners.",OPEN,"Book red Notebook Main Library Red Notebook book handwritten notes inside, slightly folded corners."
L027,LOST,Silver Levi's Wallet,Wallet,silver,Levi's,Student Center,3/9/2026,"Silver Levi's wallet contains small cash notes, has EcoCash card.",OPEN,"Wallet silver Levi's Student Center Silver Levi's wallet contains small cash notes, has EcoCash card."
L028,LOST,Brown Anker Power Bank,Power Bank,brown,Anker,Parking Lot,3/8/2026,"Brown Anker power bank minor scratches on side, slim rectangular body.",OPEN,"Power Bank brown Anker Parking Lot Brown Anker power bank minor scratches on side, slim rectangular body."
L029,LOST,Red Itel Power Bank,Power Bank,red,Itel,Student Center,3/12/2026,"Red Itel power bank USB cable included, slim rectangular body.",OPEN,"Power Bank red Itel Student Center Red Itel power bank USB cable included, slim rectangular body."
L030,LOST,Gray NUST ID Card,ID Card,gray,NUST,Main Library,3/13/2026,"Gray NUST id card student ID with lanyard, slightly bent corner.",OPEN,"ID Card gray NUST Main Library Gray NUST id card student ID with lanyard, slightly bent corner."
L031,LOST,Red AirPods Earbuds,Earbuds,red,AirPods,Computer Lab,3/5/2026,"Red AirPods earbuds left bud slightly loose, case has scratch marks.",OPEN,"Earbuds red AirPods Computer Lab Red AirPods earbuds left bud slightly loose, case has scratch marks."
L032,LOST,Green HIT ID Card,ID Card,green,HIT,Admin Block,3/15/2026,"Green HIT id card name visible on front, student ID with lanyard.",OPEN,"ID Card green HIT Admin Block Green HIT id card name visible on front, student ID with lanyard."
L033,LOST,Black Nike Jacket,Jacket,black,Nike,Hostel Block B,3/8/2026,"Black Nike jacket hood attached, lightweight material.",OPEN,"Jacket black Nike Hostel Block B Black Nike jacket hood attached, lightweight material."
L034,LOST,Gray Dell Backpack,Backpack,gray,Dell,Admin Block,3/2/2026,"Gray Dell backpack contains notebook and charger, side bottle holder.",OPEN,"Backpack gray Dell Admin Block Gray Dell backpack contains notebook and charger, side bottle holder."
L035,LOST,Black Dell Backpack,Backpack,black,Dell,Sports Ground,3/10/2026,"Black Dell backpack padded straps, side bottle holder.",OPEN,"Backpack black Dell Sports Ground Black Dell backpack padded straps, side bottle holder."
L036,LOST,Brown NUST ID Card,ID Card,brown,NUST,Computer Lab,3/2/2026,"Brown NUST id card inside transparent holder, name visible on front.",OPEN,"ID Card brown NUST Computer Lab Brown NUST id card inside transparent holder, name visible on front."
